"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.721592720E-1,6.350040436E-3,-6.931006908E-3,9.114265442E-3,1.309319307E-2
5.771592720E-1,3.180801868E-3,-5.818963051E-3,-9.593963623E-3,1.166284569E-2
5.821592720E-1,-3.718972206E-3,-2.490878105E-4,2.577781677E-3,4.531860256E-3
5.871592720E-1,3.458201885E-3,-5.955278873E-3,2.967834473E-3,7.498836456E-3
5.921592720E-1,1.226294041E-2,-1.287311316E-2,1.045322418E-2,2.062441867E-2
5.971592720E-1,5.127847195E-3,-1.077687740E-2,1.748275757E-2,2.116796437E-2
6.021592720E-1,1.825094223E-4,-2.319842577E-2,2.840042114E-3,2.337233636E-2
6.071592720E-1,9.444296360E-3,-1.021713018E-2,5.838394165E-3,1.508878157E-2
6.121592720E-1,9.316682816E-3,-8.420705795E-3,1.884555817E-2,2.264649923E-2
6.171592720E-1,6.298363209E-3,-4.627048969E-3,1.760864258E-2,1.926507863E-2
6.221592720E-1,-3.964304924E-4,-1.225459576E-2,1.775169373E-2,2.157440392E-2
6.271592720E-1,2.347707748E-3,-3.850281239E-3,1.382827759E-3,4.716843213E-3
6.321592720E-1,-1.621454954E-2,3.491044044E-4,-4.604339600E-3,1.685922400E-2
6.371592720E-1,-1.588732004E-2,8.697211742E-3,1.171016693E-2,2.156794936E-2
6.421592720E-1,-9.684503078E-3,-4.024922848E-3,9.550094604E-3,1.418428394E-2
6.471592720E-1,-1.921808720E-2,1.038759947E-2,-1.042079926E-2,2.420392851E-2
6.521592720E-1,-1.267921925E-2,9.118437767E-3,1.298141479E-2,2.030826527E-2
6.571592720E-1,-1.481056213E-3,5.682528019E-3,9.438514709E-3,1.111621393E-2
6.621592720E-1,-7.507026196E-3,5.763649940E-3,-1.092910767E-3,9.527305856E-3
6.671592720E-1,-8.856415749E-3,5.805134773E-3,-9.593963623E-3,1.428915070E-2
6.721592720E-1,-2.492070198E-3,9.713709354E-3,-1.647949219E-3,1.016278997E-2
6.771592720E-1,-1.024377346E-2,1.345634460E-3,4.593849182E-3,1.130703662E-2
6.821592720E-1,-4.579484463E-3,4.774689674E-3,6.485939026E-3,9.264812166E-3
6.871592720E-1,3.251075745E-3,-1.476049423E-3,-1.554679871E-2,1.595152549E-2
6.921592720E-1,-1.507419348E-2,5.680739880E-3,-2.809524536E-3,1.635223357E-2
6.971592720E-1,-1.374584436E-2,5.641877651E-3,-9.717941284E-3,1.775436294E-2
7.021592720E-1,-3.964424133E-3,-6.378293037E-4,-3.065109253E-3,5.051571999E-3
7.071592720E-1,-6.491720676E-3,3.677606583E-3,-6.289482117E-3,9.758320184E-3
7.121592720E-1,-1.662546396E-2,1.093864441E-3,-9.084701538E-3,1.897720721E-2
7.171592720E-1,-4.328310490E-3,9.217560291E-3,1.368236542E-2,1.705593190E-2
7.221592720E-1,-1.583641768E-2,1.996994019E-3,-1.593589783E-3,1.604118569E-2
7.271592720E-1,-1.187938452E-2,1.592016220E-2,-5.671501160E-3,2.065762006E-2
7.321592720E-1,-1.831674576E-2,9.672760963E-3,-4.098892212E-3,2.111554871E-2
7.371592720E-1,-6.379187107E-3,1.021683216E-2,-2.905845642E-3,1.239038444E-2
7.421592720E-1,5.598664284E-4,1.939135790E-2,7.938385010E-3,2.096082461E-2
7.471592720E-1,-3.892302513E-3,1.925027370E-2,-7.109642029E-3,2.088707893E-2
7.521592720E-1,2.391934395E-4,4.990756512E-3,-3.864288330E-3,6.316453780E-3
7.571592720E-1,-4.158735275E-3,1.404333115E-2,-1.036643982E-3,1.468280830E-2
7.621592720E-1,-2.660572529E-3,-1.050114632E-3,1.937866211E-3,3.454954757E-3
7.671592720E-1,5.367994308E-4,-2.562224865E-3,2.228832245E-2,2.244153443E-2
7.721592720E-1,5.079507828E-4,-7.129788399E-3,2.525806427E-2,2.624998490E-2
7.771592720E-1,4.120469093E-4,-1.219117641E-2,2.889060974E-2,3.136019605E-2
7.821592720E-1,1.838207245E-4,-3.618419170E-3,2.869033813E-2,2.891819928E-2
7.871592720E-1,-9.614765644E-3,-6.798923016E-3,4.245758057E-2,4.406035883E-2
7.921592720E-1,-4.469513893E-3,-7.754325867E-3,1.981639862E-2,2.174386760E-2
7.971592720E-1,-2.199470997E-3,-1.332652569E-2,-1.775741577E-3,1.362303996E-2
8.021592720E-1,-3.803074360E-3,-2.293199301E-2,-3.036499023E-3,2.344269618E-2
8.071592720E-1,3.831207752E-3,-2.561491728E-2,-1.105499268E-2,2.816052207E-2
8.121592720E-1,4.168927670E-3,-2.150803804E-2,-2.318382263E-3,2.203067304E-2
8.171592720E-1,-1.544594765E-3,-1.351010799E-2,-7.358551025E-3,1.546147031E-2
8.221592720E-1,6.757318974E-3,-7.463574409E-3,9.239196777E-3,1.366488418E-2
8.271592720E-1,1.070100069E-2,5.609095097E-3,-4.744529724E-3,1.298013582E-2
8.321592720E-1,6.109237671E-3,-1.586675644E-3,-8.396148682E-3,1.050407717E-2
8.371592720E-1,3.885567188E-3,1.966595650E-3,-9.329795837E-3,1.029612651E-2
8.421592720E-1,5.886554718E-3,-5.628466606E-4,2.441406250E-3,6.397561042E-3
8.471592720E-1,3.528594971E-3,-5.837678909E-3,2.393722534E-4,6.825450651E-3
8.521592720E-1,3.978490829E-3,-3.368496895E-3,2.536773682E-4,5.219148668E-3
8.571592720E-1,-4.572808743E-3,-6.928801537E-3,-3.142929077E-2,3.250721749E-2
8.621592720E-1,1.096904278E-2,-1.705724001E-2,-6.289100647E-2,6.607986101E-2
8.671592720E-1,-1.096385717E-2,-1.688891649E-2,-7.516288757E-2,7.781324651E-2
8.721592720E-1,3.486096859E-3,-7.484138012E-3,-4.412460327E-2,4.489037544E-2
8.771592720E-1,1.561021805E-2,-1.634633541E-2,2.449035645E-3,2.273498107E-2
8.821592720E-1,5.905449390E-3,-2.217119932E-2,4.254913330E-2,4.834113317E-2
8.871592720E-1,-5.727887154E-3,-3.608930111E-2,1.060619354E-1,1.121801252E-1
8.921592720E-1,-5.593478680E-3,-1.181811094E-2,1.237440109E-1,1.244328533E-1
8.971592720E-1,4.480838776E-3,-9.019553661E-3,1.858425140E-1,1.861152070E-1
9.021592720E-1,9.921193123E-4,-9.582698345E-3,2.778463364E-1,2.780133073E-1
9.071592720E-1,-3.869694471E-2,2.366298437E-2,2.845878601E-1,2.881798752E-1
9.121592720E-1,-6.220167875E-2,3.449565172E-2,2.065238953E-1,2.184287484E-1
9.171592720E-1,-8.141511679E-2,3.249794245E-2,-1.808643341E-2,8.950785763E-2
9.221592720E-1,-7.601571083E-2,3.821271658E-2,-3.006601334E-1,3.124661834E-1
9.271592720E-1,-4.069501162E-2,3.170484304E-2,-4.717149734E-1,4.745274462E-1
9.321592720E-1,9.003877640E-4,3.833097219E-2,-4.084663391E-1,4.102618972E-1
9.371592720E-1,2.617210150E-2,6.879627705E-3,-1.768875122E-1,1.789455229E-1
9.421592720E-1,1.796555519E-2,-7.847487926E-3,5.861186981E-2,6.180368535E-2
9.471592720E-1,2.589708567E-2,-2.735632658E-2,1.500759125E-1,1.547314033E-1
9.521592720E-1,3.802216053E-2,-6.075835228E-2,1.156139374E-1,1.360288373E-1
9.571592720E-1,3.885412216E-2,-6.442123652E-2,6.374740601E-2,9.860765840E-2
9.621592720E-1,2.996104956E-2,-5.827242136E-2,8.979320526E-2,1.111582624E-1
9.671592720E-1,4.464089870E-3,-3.417110443E-2,1.282091141E-1,1.327598185E-1
9.721592720E-1,-2.160477638E-2,3.273069859E-3,1.454381943E-1,1.470705535E-1
9.771592720E-1,-4.364293814E-2,3.915250301E-2,1.634988785E-1,1.736937184E-1
9.821592720E-1,-7.233768702E-2,6.877940893E-2,1.446151733E-1,1.757182302E-1
9.871592720E-1,-7.626670599E-2,7.644033432E-2,1.195478439E-1,1.610944510E-1
9.921592720E-1,-6.525564194E-2,7.814532518E-2,8.084964752E-2,1.300063697E-1
9.971592720E-1,-6.208211184E-2,4.903030396E-2,2.267360687E-2,8.229369213E-2
1.002159272E0,-4.487186670E-2,1.509058475E-2,-6.533432007E-2,8.068322966E-2
1.007159272E0,-4.453003407E-3,-4.251062870E-3,-1.170415878E-1,1.172033876E-1
1.012159272E0,2.797067165E-2,-9.614884853E-3,-1.763057709E-1,1.787694866E-1
1.017159272E0,6.288182735E-2,-2.698308229E-2,-1.636571884E-1,1.773862629E-1
1.022159272E0,8.698213100E-2,-2.910655737E-2,-1.290464401E-1,1.583226658E-1
1.027159272E0,1.023672223E-1,-2.482312918E-2,-7.795906067E-2,1.310452253E-1
1.032159272E0,1.101723909E-1,-2.146232128E-2,-2.613067627E-2,1.152449530E-1
1.037159272E0,9.245395660E-2,-7.833719254E-3,1.729965210E-2,9.438421061E-2
1.042159272E0,6.993556023E-2,3.820836544E-3,1.383113861E-2,7.139244898E-2
1.047159272E0,4.670917988E-2,1.917660236E-2,4.950523376E-3,5.073457642E-2
1.052159272E0,3.258770704E-2,2.834367752E-2,6.574630737E-3,4.368693712E-2
1.057159272E0,1.182782650E-2,2.901989222E-2,-4.582405090E-3,3.167096557E-2
1.062159272E0,6.273210049E-3,3.252470493E-2,-3.697013855E-2,4.963870203E-2
1.067159272E0,-3.126919270E-3,2.453052998E-2,-4.703426361E-2,5.313893562E-2
1.072159272E0,-1.515388489E-3,2.514767647E-2,-2.927207947E-2,3.862067672E-2
1.077159272E0,3.260612488E-3,1.613157988E-2,-1.634597778E-2,2.319591457E-2
1.082159272E0,4.252970219E-3,2.184611559E-2,1.362800598E-2,2.609718508E-2
1.087159272E0,-1.138740778E-2,-1.276457310E-2,2.673244476E-2,3.173690258E-2
1.092159272E0,-1.872628927E-2,-2.391600609E-2,2.539634705E-2,3.959322796E-2
1.097159272E0,-2.258199453E-2,-3.772866726E-2,2.882671356E-2,5.257735468E-2
1.102159272E0,-3.234177828E-2,-5.030196905E-2,2.726078033E-2,6.572236193E-2
1.107159272E0,-4.435342550E-2,-4.403430223E-2,-8.757591248E-3,6.311055008E-2
1.112159272E0,-5.111712217E-2,-6.094300747E-2,-8.438110352E-3,7.998882450E-2
1.117159272E0,-4.569047689E-2,-3.025329113E-2,-1.442909241E-2,5.666639225E-2
1.122159272E0,-3.854793310E-2,-4.218888283E-2,-2.360248566E-2,6.182978497E-2
1.127159272E0,-3.542780876E-2,-3.790974617E-2,-3.489685059E-2,6.253054189E-2
1.132159272E0,-3.368026018E-2,-2.703785896E-2,-4.249286652E-2,6.058918590E-2
1.137159272E0,-3.631341457E-2,-1.299840212E-2,-2.987766266E-2,4.878829021E-2
1.142159272E0,-1.691353321E-2,-9.130120277E-3,-2.947044373E-2,3.518428279E-2
1.147159272E0,-1.419919729E-2,-1.420420408E-2,-2.512741089E-2,3.216773842E-2
1.152159272E0,-1.680344343E-2,2.332532406E-2,-8.698463440E-3,3.003480847E-2
1.157159272E0,-2.495849133E-2,2.386635542E-2,1.367568970E-3,3.456008471E-2
1.162159272E0,-9.657680988E-3,2.273678780E-2,2.193450928E-3,2.480007154E-2
1.167159272E0,-4.967927933E-3,2.670693398E-2,8.404731750E-3,2.843554371E-2
1.172159272E0,-6.863117218E-3,2.497714758E-2,1.705932617E-2,3.101581675E-2
1.177159272E0,-8.711934090E-3,1.584911346E-2,7.435798645E-3,1.955462336E-2
1.182159272E0,-1.366329193E-2,7.842779160E-4,2.225875854E-2,2.612954210E-2
1.187159272E0,-1.429742575E-2,1.652234793E-2,2.337646484E-2,3.199786669E-2
1.192159272E0,-1.262724400E-2,-1.977026463E-3,2.866268158E-2,3.138319996E-2
1.197159272E0,-5.908548832E-3,5.058646202E-3,2.855491638E-2,2.959533916E-2
1.202159272E0,8.448958397E-4,-3.627955914E-3,2.732753754E-2,2.758025056E-2
1.207159272E0,1.026135683E-2,-6.163120270E-3,2.559089661E-2,2.825196426E-2
1.212159272E0,1.521700621E-2,-1.756560802E-2,2.587318420E-2,3.477829099E-2
1.217159272E0,1.993596554E-2,-1.610463858E-2,2.228832245E-2,3.396426686E-2
1.222159272E0,2.003842592E-2,-2.067434788E-2,-1.647472382E-2,3.317203187E-2
1.227159272E0,2.818709612E-2,-2.198195457E-2,-2.170467377E-2,4.181879455E-2
1.232159272E0,2.575790882E-2,-1.043027639E-2,-2.689456940E-2,3.867270867E-2
1.237159272E0,2.659851313E-2,-1.491647959E-2,-4.351711273E-2,5.313869931E-2
1.242159272E0,1.941245794E-2,-1.391106844E-2,-2.537918091E-2,3.484916315E-2
1.247159272E0,1.287245750E-2,2.481937408E-4,3.063964844E-2,3.323476822E-2
1.252159272E0,1.746386290E-2,2.027642727E-2,1.615905762E-2,3.126076060E-2
1.257159272E0,2.227705717E-2,-6.633996964E-3,-1.172428131E-1,1.195247021E-1
1.262159272E0,2.779877186E-2,-4.720628262E-3,-1.622114182E-1,1.646438588E-1
1.267159272E0,3.100144863E-2,-1.939618587E-2,-5.649280548E-2,6.729590563E-2
1.272159272E0,1.775240898E-2,-2.127045393E-2,9.303092957E-2,9.706870809E-2
1.277159272E0,-1.147985458E-4,-4.278898239E-3,1.986865997E-1,1.987327025E-1
1.282159272E0,-2.291518450E-2,7.685065269E-3,2.047710419E-1,2.061924962E-1
1.287159272E0,-3.549343348E-2,9.690582752E-3,1.718139648E-1,1.757092192E-1
1.292159272E0,-4.578435421E-2,8.965730667E-4,1.565189362E-1,1.630803125E-1
1.297159272E0,-5.348843336E-2,1.428937912E-2,7.009124756E-2,8.931954905E-2
1.302159272E0,-4.249811172E-2,5.298435688E-3,-3.473281860E-3,4.296773915E-2
1.307159272E0,-3.173100948E-2,-1.641631126E-3,-5.023574829E-2,5.944057808E-2
1.312159272E0,-2.639514208E-2,-4.029393196E-3,-5.004596710E-2,5.672334932E-2
1.317159272E0,-1.332920790E-2,-1.585781574E-3,-5.335330963E-2,5.501598072E-2
1.322159272E0,-4.063189030E-3,2.673625946E-3,-5.318737030E-2,5.340930762E-2
1.327159272E0,5.389988422E-3,-1.492130756E-2,-5.195426941E-2,5.432258742E-2
1.332159272E0,2.526104450E-3,-1.340484619E-2,-7.833194733E-2,7.951078592E-2
1.337159272E0,1.549732685E-2,2.959191799E-3,-6.025409698E-2,6.228547310E-2
